ID;Nombre;Precio en $;Precio en Bs;Precio $ BCV;Inventario;Costos
1;Aceite corporal 100ml;2,50;193;2,83;5;14,15
2;Aceite Ideal 250 ml ;1;77;1,13
3;Aceite Litro;3,20;246;3,62;16;57,98
4;Aceite para bebé 100ml;3,00;231;3,40;5;16,99
5;Aceite para bebé 200ml;5,00;385;5,66;5;28,31
6;Aceite para el cabello AMG-HAIR;2,7;208;3,06;12;36,69
7;Aceite Vatel 250 ml ;1,65;127;1,87;20;37,37
8;Acemitas paquete;2,00;154;2,26
9;Aceptar bonos - aceptar - Transferir - ;0,27;21;0,31;;0,00
10;Acetonas Clean Smooth;1,32;102;1,49;10;14,95
11;Acetonas Valmy- Shiny- M&A- Lidia Beauty;1,83;141;2,07;10;20,72
12;Acondicionador Alive de Pote ;2,58;199;2,92;6;17,53
13;Adaptador de audio y microfono;0,00;0;0,00;2;0,00
14;Adaptador de enchufes;1,32;102;1,49;8;11,96
15;Afilador de cuchillos;5,00;385;5,66;2;11,32
16;Agua oxigenada para el cabello Diau;1,60;123;1,81;14;25,36
17;Agua oxigenada para el cabello Koles - Kolestinte;1,60;123;1,81;11;19,93
18;Agua oxigenada para el cabello Salerm;1,60;123;1,81;20;36,24
19;Agua oxigenada para herida;0,90;69;1,02;11;11,21
20;Agujas paquete;0,33;25;0,37;30;11,21
21;Ajax en polvo;2,39;184;2,71;;0,00
22;Alcohol para heridas 120 cc;1,02;79;1,16;;0,00
23;Alcohol para heridas 250ml;2,50;193;2,83;;0,00
24;Alfombras;6,00;462;6,79;4;27,18
25;Algodón - all Pure;2,05;158;2,32;17;39,46
26;Algodón facial -Yizhilian;1,20;92;1,36;10;13,59
27;Algodón Grande;1,50;116;1,70;;0,00
28;Algodón Pequeño;1,00;77;1,13;;0,00
29;Ampollas NK para el cabello;2,25;173;2,55;12;30,57
30;Antenas WIFI - adaptadores;6,00;462;6,79;1;6,79
31;Arequipe de bolsita;1,94;149;2,20;15;32,95
32;Aromax líquido;0,90;69;1,02;11;11,21
33;Aromax polvo;0,31;24;0,35;38;13,43
34;Arroz  Mary Premium - verde moñito;2,30;177;2,60;38;98,97
35;Arroz  Mary Superior - rojo;1,73;133;1,96;14;27,43
36;Arroz  Santoni;1,40;108;1,59;20;31,71
37;Atomizador - kit de 4 ;1,00;77;1,13;2;2,26
38;Atún Robinson Crusoe ;2,58;199;2,92;12;35,06
39;Atún Willinger;2,00;154;2,26;36;81,53
40;Audífinos de orejitas ;10,00;770;11,32;3;33,97
41;Audífonos alámbricos - Samsung - Music;4,50;347;5,10;5;25,48
42;Audífonos alámbricos - Tecno - Infinix;1,83;141;2,07;8;16,58
43;Audífonos Inalámbricos  de cajitas;7,00;539;7,93;4;31,71
44;Audífonos Inalámbricos  de cajitas -TWS - V5.4;6,00;462;6,79
45;Audífonos Inalámbricos P47 - ;7,00;539;7,93;4;31,71
46;Avena 100 gr;0,60;46;0,68;3;2,04
47;Avena Pantera 400 gr;1,60;123;1,81;;0,00
48;Avena Pantera 800 gr;3,00;231;3,40;6;20,38
49;Azúcar 1 kg;1,80;139;2,04;54;110,06
50;Azúcar 200 gr;0,43;33;0,49;13;6,33
51;Azúcar 500 gr;1,03;79;1,16;;0,00
52;Banda o cinta para cera - Depiladora-;2,20;169;2,49;6;14,95
53;Banda para uñas / Polish Remover Pads;3,00;231;3,40
54;Banderin FELIZ CUMPLEAÑOS;1,25;96;1,42;17;24,06
55;Barra Lokiño;0,08;6;0,09;3;0,27
56;Base Fit;1,10;85;1,25
57;Base MAC - Matte- Matchmaster -Foundation;2,50;193;2,83;23;65,11
58;Base Miracle BB;1,85;142;2,09;5;10,47
59;Batidor de mano;0,70;54;0,79;9;7,13
60;Bianchi en Barra ;0,30;23;0,34;;0,00
61;Bianchi Snack sabores varios (bolsa);1,00;77;1,13;;0,00
62;Bicarbonato Amparito ;0,70;54;0,79;48;38,05
63;Bicolor ;0,40;31;0,45;27;12,23
64;Block de construcción (por hoja en 0,30 = 10 Bs.);2,60;200;2,94;7;20,61
65;Block de dibujo ;4,00;308;4,53;3;13,59
66;Block de rayas y cuadriculado;2,50;193;2,83;9;25,48
67;Block papel lustrillo  (por hoja en 0,30 = 10 Bs.);1,50;116;1,70;6;10,19
68;Bocadillos;0,14;11;0,16
69;Boka - sobre para bebidas;0,39;30;0,44;517;228,32
70;Bolsa de 1/4 de kilo ;0,00;0;0,00;12;0,00
71;Bolsa de agua reciclable;5,75;443;6,51
72;Bolsa de medio kilo 1/2;0,17;13;0,20;12;2,35
73;Bolsa Negra 25 kilos ;0,17;13;0,20;51;9,99
74;Bolsa Negra 40 kilos - Basura;0,30;23;0,34;101;34,31
75;Bolsas de basura china - rollito;1,00;77;1,13;35;39,63
76;Bolsas de regalo grandes;2,00;154;2,26;10;22,65
77;Bolsas de regalo medianas;1,50;116;1,70;27;45,86
78;Bolsas de regalo pequeñas;1,20;92;1,36;21;28,54
79;Bomba de carnaval paquete;0,4;31;0,45
80;Bombas de agua - Dispensadores;6,47;498;7,33;3;21,98
81;Bombas de carnaval con pitillos - 37 pcs;0,91;70;1,03
82;Bombillo - amarillo;0,50;39;0,57;47;26,61
83;Bombillo - blanco - Led F&M;1,00;77;1,13;8;9,06
